title,authors,journal_name,publication_date,link,abstract
Metabolic engineering of Escherichia coli W3110 to produce Lâmalate,X Chen,Biotechnology and Bioengineering,2017.0,https://doi.org/10.1002/bit.26190,"A four-carbon dicarboxylic acid L-malate has recently attracted attention due to its potential applications in the fields of medicine and agriculture. In this study, Escherichia coli W3110 was engineered and optimized for L-malate production via one-step L-malate synthesis pathway. First, deletion of the genes encoding lactate dehydrogenase (ldhA), pyruvate oxidase (poxB), pyruvate formate lyase (pflB), phosphotransacetylase (pta), and acetate kinase A (ackA) in pta-ackA pathway led to accumulate 20.9âg/L pyruvate. Then, overexpression of NADP+-dependent malic enzyme C490S mutant in this multi-deletion mutant resulted in the direct conversion of pyruvate into L-malate (3.62âg/L). Next, deletion of the genes responsible for succinate biosynthesis further enhanced L-malate production up to 7.78âg/L. Finally, L-malate production was elevated to 21.65âg/L with the L-malate yield to 0.36âg/g in a 5âL bioreactor by overexpressing the pos5 gene encoding NADH kinase in the engineered E. coli F0931 strain. This study demonstrates the potential utility of one-step pathway for efficient L-malate production. Biotechnol. Bioeng. 2017;114: 656â664. © 2016 Wiley Periodicals, Inc."
Escherichia coli âTatExpressâ strains export several g/L human growth hormone to the periplasm by the Tat pathway,M Allen,Biotechnology and Bioengineering,2019.0,https://doi.org/10.1002/bit.27147,"Escherichia coli is a heavily used platform for the production of biotherapeutic and other high-value proteins, and a favored strategy is to export the protein of interest to the periplasm to simplify downstream processing and facilitate disulfide bond formation. The Sec pathway is the standard means of transporting the target protein but it is unable to transport complex or rapidly folding proteins because the Sec system can only transport proteins in an unfolded state. The Tat system also operates to transport proteins to the periplasm, and it has significant potential as an alternative means of recombinant protein production because it transports fully folded proteins. Here, we have tested the Tat system's full potential for the production of biotherapeutics for the first time using fed-batch fermentation. We expressed human growth hormone (hGH) with a Tat signal peptide in E. coli W3110 âTatExpressâ strains that contain elevated levels of the Tat apparatus. This construct contained four amino acids from TorA at the hGH N-terminus as well as the initiation methionine from hGH, which is removed in vivo. We show that the protein is efficiently exported to the periplasm during extended fed-batch fermentation, to the extent that it is by far the most abundant protein in the periplasm. The protein was shown to be homogeneous, disulfide bonded, and active. The bioassay showed that the yields of purified periplasmic hGH are 5.4âg/L culture whereas an enzyme-linked immunosorbent assay gave a figure of 2.39âg/L. Separate analysis of a TorA signal peptide linked to hGH construct lacking any additional amino acids likewise showed efficient export to the periplasm, although yields were approximately two-fold lower."
Metabolic engineering of Escherichia coli for the production of fumaric acid,"Song, C. W., et al.",Biotechnol Bioeng,2013.0,https://doi.org/10.1002/bit.24868,"Fumaric acid is a naturally occurring organic acid that is an intermediate of the tricarboxylic acid cycle. Fungal species belonging to Rhizopus have traditionally been employed for the production of fumaric acid. In this study, Escherichia coli was metabolically engineered for the production of fumaric acid under aerobic condition. For the aerobic production of fumaric acid, the iclR gene was deleted to redirect the carbon flux through the glyoxylate shunt. In addition, the fumA, fumB, and fumC genes were also deleted to enhance fumaric acid formation. The resulting strain was able to produce 1.45 g/L of fumaric acid from 15 g/L of glucose in flask culture. Based on in silico flux response analysis, this base strain was further engineered by plasmid-based overexpression of the native ppc gene, encoding phosphoenolpyruvate carboxylase (PPC), from the strong tac promoter, which resulted in the production of 4.09 g/L of fumaric acid. Additionally, the arcA and ptsG genes were deleted to reinforce the oxidative TCA cycle flux, and the aspA gene was deleted to block the conversion of fumaric acid into L-aspartic acid. Since it is desirable to avoid the use of inducer, the lacI gene was also deleted. To increase glucose uptake rate and fumaric acid productivity, the native promoter of the galP gene was replaced with the strong trc promoter. Fed-batch culture of the final strain CWF812 allowed production of 28.2 g/L fumaric acid in 63 h with the overall yield and productivity of 0.389 g fumaric acid/g glucose and 0.448 g/L/h, respectively. This study demonstrates the possibility for the efficient production of fumaric acid by metabolically engineered E. coli."
Improved L-threonine production of Escherichia coli mutant by optimization of culture conditions,"Lee, M. H., et al.",J Biosci Bioeng,2006.0,https://doi.org/10.1263/jbb.101.127,"L-threonine production was investigated in a minimal salt medium using L-threonine-overproducing Escherichia coli MT201, derived from E. coli K-12. It was observed that dry cell weight reached 12.5 g/l with 15.9 g/lL-threonine. To increase dry cell weight and L-threonine production, the fermentation process was optimized. When biotin was added as growth factor, L-threonine production reached 52.0 g/l from 15.9 g/l without biotin. Dry cell weight and L-threonine production were further increased by continuous feeding of the feed media with an optimized L-methionine concentration (5.0 g/l). However, high-cell-density culture caused oxygen-limited condition, which resulted in the accumulation of organic acids. To overcome this problem, oxygen-enriched air was supplied to the fermentor with the minimal salt medium. Under these optimal conditions, we achieved an L-threonine production of 80.2 g/l in the minimal salt medium."
"Metabolic Engineering of Escherichia coli for De Novo Production of 1,5-Pentanediol from Glucose","Cen, X., et al.",ACS Synth Biol,2021.0,https://doi.org/10.1021/acssynbio.0c00567,"1,5-Pentanediol (1,5-PDO) is an important C5 building block for the synthesis of different value-added polyurethanes and polyesters. However, no natural metabolic pathway exists for the biosynthesis of 1,5-PDO. Herein we designed and constructed a promising nonnatural pathway for de novo production of 1,5-PDO from cheap carbohydrates. This biosynthesis route expands natural lysine pathways and employs two artificial metabolic modules to sequentially convert lysine into 5-hydroxyvalerate (5-HV) and 1,5-PDO via 5-hydroxyvaleryl-CoA. Theoretically, the 5-hydroxyvaleryl-CoA-based pathway is more energy-efficient than a recently published carboxylic acid reductase-based pathway for 1,5-PDO production. By combining strategies of systematic enzyme screening, pathway balancing, and transporter engineering, we successfully constructed a minimally engineered Escherichia coli strain capable of producing 3.19 g/L of 5-HV and 0.35 g/L of 1,5-PDO in a medium containing 20 g/L of glucose and 5 g/L lysine. Introducing the synthetic modules into a lysine producer and enhancing NADPH supply enabled the strain to accumulate 1.04 g/L of 5-HV and 0.12 g/L of 1,5-PDO using glucose as the main carbon source. This work lays the basis for the development of a biological route for 1,5-PDO production from renewable bioresources."
Systems engineering of Escherichia coli for high-level shikimate production,"Li, Z., et al.",Metab Eng,2023.0,https://doi.org/10.1016/j.ymben.2022.10.010,"To further increase the production efficiency of microbial shikimate, a valuable compound widely used in the pharmaceutical and chemical industries, ten key target genes contributing to shikimate production were identified by exploiting the enzyme constraint model ec_iML1515, and subsequently used for promoting metabolic flux towards shikimate biosynthesis in the tryptophan-overproducing strain Escherichia coli TRP0. The engineered E. coli SA05 produced 78.4 g/L shikimate via fed-batch fermentation. Deletion of quinate dehydrogenase and introduction of the hydroaromatic equilibration-alleviating shikimate dehydrogenase mutant AroE(T61W/L241I) reduced the contents of byproducts quinate (7.5 g/L) and 3-dehydroshikimic acid (21.4 g/L) by 89.1% and 52.1%, respectively. Furthermore, a high concentration shikimate responsive promoter P(rpoS) was recruited to dynamically regulate the expression of the tolerance target ProV to enhance shikimate productivity by 23.2% (to 2 g/L/h). Finally, the shikimate titer was increased to 126.4 g/L, with a yield of 0.50 g/g glucose and productivity of 2.63 g/L/h, using a 30-L fermenter and the engineered strain E. coli SA09. This is, to the best of our knowledge, the highest reported shikimate titer and productivity in E. coli."
Optimization of bioethanol production from glycerol by Escherichia coli SS1,"NAA Adnan, S Abd-Aziz, MA Hassan",Renewable energy,2014.0,https://doi.org/10.1016/j.renene.2013.12.032,"Bioethanol is a promising biofuel and has a lot of great prospective and could become an alternative to fossil fuels. Ethanol fermentation using glycerol as carbon source was carried out by local isolate, ethanologenic bacterium Escherichia coli SS1 in a close system. Factors affecting bioethanol production from pure glycerol were optimized via response surface methodology (RSM) with central composite design (CCD). Four significant variables were found to influence bioethanol yield; initial pH of fermentation medium, substrate concentration, salt content and organic nitrogen concentration with statistically significant effect (p â¤ 0.05) on bioethanol production. The significant factor was then analyzed using central composite design (CCD). The optimum conditions for bioethanol production were substrate concentration at 34.5 g/L, pH 7.61, and organic nitrogen concentration at 6.42 g/L in which giving ethanol yield approximately 1.00 mol/mol. In addition, batch ethanol fermentation in a 2 L bioreactor was performed at the glycerol concentration of 20 g/L, 35 g/L and 45 g/L, respectively. The ethanol yields obtained from all tested glycerol concentrations were approaching theoretical yield when the batch fermentation was performed at optimized conditions."
An evolutionary strategy for isobutanol production strain development in Escherichia coli,"Smith, K. M. and J. C. Liao",Metab Eng,2011.0,https://doi.org/10.1016/j.ymben.2011.08.004,"Higher alcohols such as isobutanol possess several physical characteristics that make them attractive as biofuels such as higher energy densities and infrastructure compatibility. Here we have developed a rapid evolutionary strategy for isolating strains of Escherichia coli that effectively produce isobutanol from glucose utilizing random mutagenesis and a growth selection scheme. By selecting for mutants with the ability to grow in the presence of the valine analog norvaline, we obtained E. coli NV3 a strain with improved 24-h isobutanol production (8.0 g/L) in comparison with a productivity of 5.3g/L isobutanol obtained with the parental wild type strain. Genomic sequencing of NV3 identified the insertion of a stop codon in the C-terminus of the RNA polymerase sigma(s)-factor, RpoS. Upon repair of this inhibitory mutation (strain NV3r1), a final isobutanol titer of 21.2g/L isobutanol was achieved in 99 h with a yield of 0.31 g isobutanol/g glucose or 76% of theoretical maximum. Furthermore, a mutation in ldhA, encoding d-lactate dehydrogenase, was identified in NV3 however, repair of LdhA in NV3r1 had no affect on LdhA activity detected from cell extracts or on isobutanol productivity. Further study of NV3r1 may identify novel genotypes that confer improved isobutanol production."
Optimization of Fermentation Conditions for the Biosynthesis of l-Threonine by Escherichia coli,"N Chen, J Huang, Z Feng, L Yu, Q Xuâ¦",Applied biochemistry and Biotechnology,2009.0,https://doi.org/10.1007/s12010-008-8385-y,"In this study, the fed-batch fermentation technique was applied to improve the yield of L-threonine produced by Escherichia coli TRFC. Various fermentation substrates and conditions were investigated to identify the optimal carbon source, its concentration and C/N ratio in the production of L-threonine. Sucrose was found to be the optimal initial carbon source and its optimal concentration was determined to be 70 g/L based on the results of fermentations conducted in a 5-L jar fermentor using a series of fed-batch cultures of E. coli TRFC. The effects of glucose concentration and three different feeding methods on the production of L-threonine were also investigated in this work. Our results showed that the production of L-threonine by E. coli was enhanced when glucose concentration varied between 5 and 20 g/L with DO-control pulse fed-batch method. Furthermore, the C/N ratio was a more predominant factor than nitrogen concentration for L-threonine overproduction and the optimal ratio of ammonium sulfate to sucrose (g/g) was 30. Under the optimal conditions, a final L-threonine concentration of 118 g/L was achieved after 38 h with the productivity of 3.1 g/L/h (46% conversion ratio from glucose to threonine)."
Isobutyraldehyde production from Escherichia coli by removing aldehyde reductase activity,"Rodriguez, G. M. and S. Atsumi",Microb Cell Fact,2012.0,https://doi.org/10.1186/1475-2859-11-90,"BACKGROUND: Increasing global demand and reliance on petroleum-derived chemicals will necessitate alternative sources for chemical feedstocks. Currently, 99% of chemical feedstocks are derived from petroleum and natural gas. Renewable methods for producing important chemical feedstocks largely remain unaddressed. Synthetic biology enables the renewable production of various chemicals from microorganisms by constructing unique metabolic pathways. Here, we engineer Escherichia coli for the production of isobutyraldehyde, which can be readily converted to various hydrocarbons currently derived from petroleum such as isobutyric acid, acetal, oxime and imine using existing chemical catalysis. Isobutyraldehyde can be readily stripped from cultures during production, which reduces toxic effects of isobutyraldehyde. RESULTS: We adopted the isobutanol pathway previously constructed in E. coli, neglecting the last step in the pathway where isobutyraldehyde is converted to isobutanol. However, this strain still overwhelmingly produced isobutanol (1.5 g/L/OD(600) (isobutanol) vs 0.14 g/L/OD(600) (isobutyraldehyde)). Next, we deleted yqhD which encodes a broad-substrate range aldehyde reductase known to be active toward isobutyraldehyde. This strain produced isobutanol and isobutyraldehyde at a near 1:1 ratio, indicating further native isobutyraldehyde reductase (IBR) activity in E. coli. To further eliminate isobutanol formation, we set out to identify and remove the remaining IBRs from the E. coli genome. We identified 7 annotated genes coding for IBRs that could be active toward isobutyraldehyde: adhP, eutG, yiaY, yjgB, betA, fucO, eutE. Individual deletions of the genes yielded only marginal improvements. Therefore, we sequentially deleted all seven of the genes and assessed production. The combined deletions greatly increased isobutyraldehyde production (1.5 g/L/OD(600)) and decreased isobutanol production (0.4 g/L/OD(600)). By assessing production by overexpression of each candidate IBR, we reveal that AdhP, EutG, YjgB, and FucO are active toward isobutyraldehyde. Finally, we assessed long-term isobutyraldehyde production of our best strain containing a total of 15 gene deletions using a gas stripping system with in situ product removal, resulting in a final titer of 35 g/L after 5 days. CONCLUSIONS: In this work, we optimized E. coli for the production of the important chemical feedstock isobutyraldehyde by the removal of IBRs. Long-term production yielded industrially relevant titers of isobutyraldehyde with in situ product removal. The mutational load imparted on E. coli in this work demonstrates the versatility of metabolic engineering for strain improvements."
Improving lysine production through construction of an Escherichia coli enzymeâconstrained model,"C Ye, L Guo, C Gao",Biotechnology and Bioengineering,2020.0,https://doi.org/10.1002/bit.27485,"Microbial cell factories are widely used for the production of high-value chemicals. However, maximizing production titers is made difficult by the complicated regulatory mechanisms of these cell platforms. Here, kcat values were incorporated to construct an Escherichia coli enzyme-constrained model. The resulting ec_iML1515 model showed that the protein demand and protein synthesis rate were the key factors affecting lysine production. By optimizing the expression of the 20 top-demanded proteins, lysine titers reached 95.7â±â0.7âg/L, with a 0.45âg/g glucose yield. Moreover, adjusting NH4+ and dissolved oxygen levels to regulate the synthesis rate of energy metabolism-related proteins caused lysine titers and glucose yields to increase to 193.6â±â1.8âg/L and 0.74âg/g, respectively. The ec_iML1515 model provides insight into how enzymes required for the biosynthesis of certain products are distributed between and within metabolic pathways. This information can be used to accurately predict and rationally design lysine production."
An artificial pathway for trans-4-hydroxy-L-pipecolic acid production from L-lysine in Escherichia coli,"Cheng, J., et al.",Biosci Biotechnol Biochem,2022.0,https://doi.org/10.1093/bbb/zbac118,"Trans-4-hydroxy-L-pipecolic acid (trans-4-HyPip) is a hydroxylated product of L-pipecolic acid, which is widely used in the pharmaceutical and chemical industries. Here, a trans-4-HyPip biosynthesis module was designed and constructed in Escherichia coli by overexpressing lysine alpha-oxidase, Delta1-piperideine-2-carboxylase reductase, glucose dehydrogenase, lysine permease, catalase and L-pipecolic acid trans-4-hydroxylase for expanding the lysine catabolism pathway. A total of 4.89 g/L of trans-4-HyPip was generated in shake flasks from 8 g/L of L-pipecolic acid. By this approach, 14.86 g/L of trans-4-HyPip was produced from lysine after 48 h in a 5 L bioreactor. As far as we know, this is the first multi-enzyme cascade catalytic system for the production of trans-4-HyPip using E. coli from L-lysine. Therefore, it can be considered as a potential candidate for the industrial production of trans-4-HyPip in microorganisms."
Metabolic engineering of Escherichia coli for high-yield uridine production,"Wu, H., et al.",Metab Eng,2018.0,https://doi.org/10.1016/j.ymben.2018.09.001,"Uridine is a kind of pyrimidine nucleoside that has been widely applied in the pharmaceutical industry. Although microbial fermentation is a promising method for industrial production of uridine, an efficient microbial cell factory is still lacking. In this study, we constructed a metabolically engineered Escherichia coli capable of high-yield uridine production. First, we developed a CRISPR/Cas9-mediated chromosomal integration strategy to integrate large DNA into the E. coli chromosome, and a 9.7â¯kb DNA fragment including eight genes in the pyrimidine operon of Bacillus subtilis F126 was integrated into the yghX locus of E. coli W3110. The resultant strain produced 3.3â¯g/L uridine and 4.5â¯g/L uracil in shake flask culture for 32â¯h. Subsequently, five genes involved in uridine catabolism were knocked out, and the uridine titer increased to 7.8â¯g/L. As carbamyl phosphate, aspartate, and 5'-phosphoribosyl pyrophosphate are important precursors for uridine synthesis, we further modified several metabolism-related genes and synergistically improved the supply of these precursors, leading to a 76.9% increase in uridine production. Finally, nupC and nupG encoding nucleoside transport proteins were deleted, and the extracellular uridine accumulation increased to 14.5â¯g/L. After 64â¯h of fed-batch fermentation, the final engineered strain UR6 produced 70.3â¯g/L uridine with a yield and productivity of 0.259â¯g/g glucose and 1.1â¯g/L/h, respectively. To the best of our knowledge, this is the highest uridine titer and productivity ever reported for the fermentative production of uridine."
Systems metabolic engineering of Escherichia coli for Lâthreonine production,"TY Kim, HU Kim",Molecular systems Biology,2007.0,https://doi.org/10.1038/msb4100196,"Aminoâacid producers have traditionally been developed by repeated random mutagenesis owing to the difficulty in rationally engineering the complex and highly regulated metabolic network. Here, we report the development of the genetically defined lâthreonine overproducing Escherichia coli strain by systems metabolic engineering. Feedback inhibitions of aspartokinase I and III (encoded by thrA and lysC, respectively) and transcriptional attenuation regulations (located in thrL) were removed. Pathways for Thr degradation were removed by deleting tdh and mutating ilvA. The metA and lysA genes were deleted to make more precursors available for Thr biosynthesis. Further target genes to be engineered were identified by transcriptome profiling combined with in silico flux response analysis, and their expression levels were manipulated accordingly. The final engineered E. coli strain was able to produce Thr with a high yield of 0.393 g per gram of glucose, and 82.4 g/l Thr by fedâbatch culture. The systems metabolic engineering strategy reported here may be broadly employed for developing genetically defined organisms for the efficient production of various bioproducts."
